was_delayed,daily_rainfall,did_rain,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time
False,0.0,False,US,02/01/2013,0225,N662AW,PHX,16:20
False,0.0,False,US,02/01/2013,0280,N822AW,PHX,06:00
False,0.0,False,US,02/01/2013,0303,N653AW,CLT,09:35
True,0.0,False,US,02/01/2013,0604,N640AW,PHX,09:55
False,0.0,False,US,02/01/2013,0722,N715UW,PHL,18:30
False,0.0,False,US,02/01/2013,0754,N952UW,PHL,15:30
False,0.0,False,US,02/01/2013,0897,N956UW,PHL,09:30
False,0.0,False,US,02/01/2013,0967,N741UW,PHL,07:30
True,0.0,False,US,02/01/2013,1029,N176UW,CLT,08:00
False,0.0,False,US,02/01/2013,1097,N948UW,PHL,20:30
False,0.0,False,US,02/01/2013,1239,N961UW,PHL,08:30
False,0.0,False,US,02/01/2013,1249,N704US,CLT,05:00
False,0.0,False,US,02/01/2013,1289,N959UW,PHL,05:30
False,0.0,False,US,02/01/2013,1521,N192UW,CLT,06:00
False,0.0,False,US,02/01/2013,1605,N951UW,PHL,13:30
False,0.0,False,US,02/01/2013,1635,N953UW,PHL,16:30
False,0.0,False,US,02/01/2013,1667,N758US,CLT,17:00
False,0.0,False,US,02/01/2013,1727,N737US,PHL,12:30
False,0.0,False,US,02/01/2013,1747,N560UW,CLT,12:45
False,0.0,False,US,02/01/2013,1779,N956UW,PHL,14:30
False,0.0,False,US,02/01/2013,1788,N167US,CLT,19:00
False,0.0,False,US,02/01/2013,1789,N176UW,CLT,14:40
False,0.0,False,US,02/01/2013,1807,N701UW,PHL,06:30
False,0.0,False,US,02/01/2013,1819,N952UW,PHL,10:30
False,0.0,False,US,02/01/2013,1827,N953UW,PHL,11:30
False,0.0,False,US,02/01/2013,1829,N956UW,PHL,19:30
False,0.0,False,US,02/01/2013,1845,N737US,PHL,17:30
False,0.0,False,US,02/01/2013,1981,N563UW,CLT,11:10
False,0.0,False,US,02/01/2013,1991,N128UW,PHL,07:00
False,0.0,False,US,02/01/2013,2021,N103US,DCA,06:00
False,0.0,False,US,02/01/2013,2023,N733UW,DCA,07:00
False,0.0,False,US,02/01/2013,2025,N747UW,DCA,08:00
False,0.0,False,US,02/01/2013,2027,N723UW,DCA,09:00
False,0.0,False,US,02/01/2013,2029,N703UW,DCA,10:00
False,0.0,False,US,02/01/2013,2031,N127UW,DCA,11:00
False,0.0,False,US,02/01/2013,2033,N733UW,DCA,12:00
False,0.0,False,US,02/01/2013,2035,N747UW,DCA,13:00
False,0.0,False,US,02/01/2013,2037,N723UW,DCA,14:00
False,0.0,False,US,02/01/2013,2039,N703UW,DCA,15:00
False,0.0,False,US,02/01/2013,2041,N127UW,DCA,16:00
False,0.0,False,US,02/01/2013,2043,N733UW,DCA,17:00
False,0.0,False,US,02/01/2013,2045,N756US,DCA,18:00
False,0.0,False,US,02/01/2013,2047,N723UW,DCA,19:00
False,0.0,False,US,02/01/2013,2049,N748UW,DCA,20:00
False,0.0,False,US,02/01/2013,2115,N956UW,LGA,06:00
False,0.0,False,US,02/01/2013,2117,N947UW,LGA,07:00
False,0.0,False,US,02/01/2013,2119,N762US,LGA,08:00
False,0.0,False,US,02/01/2013,2121,N950UW,LGA,09:00
False,0.0,False,US,02/01/2013,2123,N955UW,LGA,10:00
False,0.0,False,US,02/01/2013,2125,N944UW,LGA,11:00
False,0.0,False,US,02/01/2013,2127,N947UW,LGA,12:00
False,0.0,False,US,02/01/2013,2129,N950UW,LGA,13:00
False,0.0,False,US,02/01/2013,2131,N955UW,LGA,14:00
False,0.0,False,US,02/01/2013,2133,N944UW,LGA,15:00
False,0.0,False,US,02/01/2013,2135,N947UW,LGA,16:00
False,0.0,False,US,02/01/2013,2137,N950UW,LGA,17:00
False,0.0,False,US,02/01/2013,2139,N955UW,LGA,18:00
False,0.0,False,US,02/01/2013,2141,N944UW,LGA,19:00
False,0.0,False,US,02/01/2013,2143,N947UW,LGA,20:00
False,0.0,False,US,02/01/2013,2145,N944UW,LGA,06:45
False,0.0,False,US,02/02/2013,0067,N668AW,CLT,05:00
False,0.0,False,US,02/02/2013,0225,N676AW,PHX,16:20
False,0.0,False,US,02/02/2013,0280,N801AW,PHX,06:00
False,0.0,False,US,02/02/2013,0450,N649AW,PHX,09:55
False,0.0,False,US,02/02/2013,0754,N955UW,PHL,15:30
False,0.0,False,US,02/02/2013,0885,N161UW,CLT,08:00
False,0.0,False,US,02/02/2013,1122,N561UW,CLT,14:40
False,0.0,False,US,02/02/2013,1449,N710UW,PHL,05:30
False,0.0,False,US,02/02/2013,1521,N193UW,CLT,06:00
False,0.0,False,US,02/02/2013,1582,N123UW,PHL,07:00
False,0.0,False,US,02/02/2013,1745,N944UW,CLT,17:00
False,0.0,False,US,02/02/2013,1747,N540UW,CLT,12:45
False,0.0,False,US,02/02/2013,1779,N961UW,PHL,14:30
False,0.0,False,US,02/02/2013,1803,N733UW,PHL,08:30
True,0.0,False,US,02/02/2013,1807,N703UW,PHL,06:30
False,0.0,False,US,02/02/2013,1827,N947UW,PHL,11:30
False,0.0,False,US,02/02/2013,1829,N954UW,PHL,19:30
False,0.0,False,US,02/02/2013,1869,N703UW,CLT,19:00
False,0.0,False,US,02/02/2013,1981,N563UW,CLT,11:10
False,0.0,False,US,02/02/2013,2021,N954UW,DCA,06:00
False,0.0,False,US,02/02/2013,2025,N944UW,DCA,08:00
True,0.0,False,US,02/02/2013,2029,N955UW,DCA,10:00
False,0.0,False,US,02/02/2013,2033, ,DCA,12:00
False,0.0,False,US,02/02/2013,2037,N950UW,DCA,14:00
False,0.0,False,US,02/02/2013,2123,N950UW,LGA,10:00
False,0.0,False,US,02/02/2013,2129,N944UW,LGA,13:00
False,0.0,False,US,02/02/2013,2133,N965UW,LGA,15:00
False,0.03,True,US,02/03/2013,0225,N672AW,PHX,16:20
False,0.03,True,US,02/03/2013,0303,N672AW,CLT,09:35
False,0.03,True,US,02/03/2013,0604,N677AW,PHX,09:55
False,0.03,True,US,02/03/2013,0859,N563UW,PHL,07:00
False,0.03,True,US,02/03/2013,0897,N125UW,PHL,09:30
False,0.03,True,US,02/03/2013,1021,N193UW,CLT,08:00
False,0.03,True,US,02/03/2013,1239,N956UW,PHL,08:30
False,0.03,True,US,02/03/2013,1270,N740UW,PHL,05:30
False,0.03,True,US,02/03/2013,1521,N184US,CLT,06:00
False,0.03,True,US,02/03/2013,1543,N562UW,CLT,14:40
False,0.03,True,US,02/03/2013,1667,N760US,CLT,17:02
False,0.03,True,US,02/03/2013,1683,N442US,CLT,11:10
False,0.03,True,US,02/03/2013,1779,N958UW,PHL,14:30
False,0.03,True,US,02/03/2013,1788,N176UW,CLT,19:00
False,0.03,True,US,02/03/2013,1801,N769US,CLT,12:45
True,0.03,True,US,02/03/2013,1829,N947UW,PHL,19:30
False,0.03,True,US,02/03/2013,2025,N741UW,DCA,08:00
False,0.03,True,US,02/03/2013,2027,N709UW,DCA,09:00
False,0.03,True,US,02/03/2013,2029,N705UW,DCA,10:00
False,0.03,True,US,02/03/2013,2031,N965UW,DCA,11:00
False,0.03,True,US,02/03/2013,2033,N760US,DCA,12:00
False,0.03,True,US,02/03/2013,2035,N756US,DCA,13:00
False,0.03,True,US,02/03/2013,2037,N745VJ,DCA,14:00
False,0.03,True,US,02/03/2013,2039,N705UW,DCA,15:00
False,0.03,True,US,02/03/2013,2041,N965UW,DCA,16:00
True,0.03,True,US,02/03/2013,2043,N755US,DCA,17:00
False,0.03,True,US,02/03/2013,2045,N756US,DCA,18:00
False,0.03,True,US,02/03/2013,2047,N745VJ,DCA,19:00
False,0.03,True,US,02/03/2013,2049,N705UW,DCA,20:00
False,0.03,True,US,02/03/2013,2123,N766US,LGA,10:00
False,0.03,True,US,02/03/2013,2127,N949UW,LGA,12:00
False,0.03,True,US,02/03/2013,2131,N952UW,LGA,14:00
False,0.03,True,US,02/03/2013,2135,N949UW,LGA,16:00
False,0.03,True,US,02/03/2013,2139,N952UW,LGA,18:00
False,0.03,True,US,02/03/2013,2143,N949UW,LGA,20:00
False,0.0,False,US,02/04/2013,0225,N654AW,PHX,16:20
False,0.0,False,US,02/04/2013,0280,N810AW,PHX,06:00
