was_delayed,daily_rainfall,did_rain,Carrier Code,Date (MM/DD/YYYY),Flight Number,Tail Number,Destination Airport ,Scheduled Departure Time,event_id
False,1.172,False,US,09/11/2014,2133,N961UW,LGA,06:00,20191118194415795
False,0.373,True,US,02/18/2014,2109,N745VJ,DCA,09:00,20191118194400860
False,1.82,False,US,04/17/2014,1755,N957UW,PHL,19:30,20191118194405390
False,0.17,True,US,05/23/2014,1917, ,PHL,07:00,20191118194411964
False,2.222,False,US,05/11/2014,408,N677AW,PHX,06:10,20191118194411284
False,2.371,False,US,11/04/2014,2111,N810AW,DCA,11:00,20191118194406265
False,0.95,False,US,07/02/2014,445,N537UW,CLT,06:10,20191118194416850
False,2.955,False,US,01/30/2014,1886,N948UW,PHL,20:30,20191118194404426
False,2.864,False,US,06/16/2014,1799,N563UW,CLT,14:40,20191118194414423
False,1.3,False,US,05/12/2014,2119,N758US,DCA,15:00,20191118194411363
True,1.43,False,US,09/16/2014,2056,N288AY,CLT,12:50,20191118194416023
False,2.272,False,US,03/16/2014,543,N815AW,PHL,07:00,20191118194408322
False,1.307,False,US,10/06/2014,738,N828AW,PHL,17:30,20191118194401685
False,2.641,True,US,02/16/2014,2127,N704US,DCA,18:00,20191118194400769
False,0.272,False,US,10/20/2014,1788,N912UY,CLT,19:10,20191118194402433
True,2.956,True,US,04/15/2014,2151,N946UW,LGA,14:00,20191118194405311
False,0.022,False,US,04/10/2014,2127,N715UW,DCA,19:00,20191118194405051
False,0.563,False,US,11/07/2014,714,N952UW,PHL,15:30,20191118194406420
False,0.316,True,US,07/16/2014,629,N549UW,PHX,16:30,20191118194417568
False,2.978,True,US,11/06/2014,2131,N749US,DCA,21:00,20191118194406396
False,0.226,False,US,03/21/2014,2151,N959UW,LGA,14:00,20191118194408666
False,2.577,False,US,07/31/2014,2143,N959UW,LGA,10:00,20191118194418431
False,1.062,False,US,10/25/2014,2139,N959UW,LGA,08:00,20191118194402747
False,0.029,True,US,02/05/2014,1788,N150UW,CLT,19:15,20191118194400189
False,1.827,False,US,10/30/2014,2109,N839AW,DCA,10:00,20191118194403005
False,1.194,False,US,10/09/2014,2119,N714US,DCA,15:00,20191118194401899
True,1.093,False,US,02/26/2014,1819,N956UW,PHL,10:30,20191118194401267
False,0.834,False,US,07/22/2014,2105,N812AW,DCA,08:00,20191118194417912
False,1.052,False,US,05/13/2014,752,N161UW,CLT,08:05,20191118194411394
False,2.796,False,US,01/13/2014,1799,N193UW,CLT,14:35,20191118194403556
False,0.108,False,US,01/20/2014,582,N821AW,PHX,06:10,20191118194403890
True,1.139,False,US,03/25/2014,2119,N769US,DCA,15:00,20191118194408838
False,0.485,True,US,06/17/2014,2111,N749US,DCA,11:00,20191118194414502
True,1.434,False,US,08/28/2014,1918,N967UW,PHL,17:00,20191118194410627
False,1.013,False,US,03/24/2014,2147,N952UW,LGA,12:00,20191118194408792
True,1.763,True,US,08/27/2014,1755,N957UW,PHL,19:30,20191118194410555
False,2.753,False,US,08/21/2014,1827,N950UW,PHL,11:30,20191118194410253
False,0.767,False,US,03/18/2014,738,N965UW,PHL,19:30,20191118194408433
False,1.838,False,US,08/20/2014,2161,N951UW,LGA,19:00,20191118194410233
False,0.232,False,US,05/06/2014,445,N153UW,CLT,06:00,20191118194411016
False,2.946,True,US,10/23/2014,1701,N957UW,PHL,08:30,20191118194402612
False,2.053,False,US,09/11/2014,2117,N770UW,DCA,14:00,20191118194415787
False,0.177,False,US,07/08/2014,2105,N767UW,DCA,08:00,20191118194417159
False,0.992,True,US,05/28/2014,2145,N959UW,LGA,11:00,20191118194412206
False,0.247,True,US,03/13/2014,2147,N965UW,LGA,12:00,20191118194408226
False,2.212,False,US,06/18/2014,1701,N948UW,PHL,08:30,20191118194414541
False,0.519,True,US,01/03/2014,2103, ,DCA,06:00,20191118194403152
False,2.416,True,US,10/03/2014,2111,N810AW,DCA,11:00,20191118194401585
False,1.878,True,US,01/21/2014,824,N961UW,PHL,12:30,20191118194403943
False,0.117,True,US,02/21/2014,1788,N186US,CLT,19:10,20191118194401021
False,1.009,True,US,05/17/2014,2139,N967UW,LGA,08:00,20191118194411653
False,2.823,True,US,05/01/2014,2115,N767UW,DCA,13:00,20191118194410805
False,1.894,True,US,12/23/2014,529,N667AW,CLT,09:35,20191118194413417
False,0.354,False,US,03/09/2014,2151,N965UW,LGA,14:00,20191118194407989
False,0.127,False,US,08/11/2014,1701,N957UW,PHL,08:30,20191118194409692
True,1.047,False,US,12/12/2014,2123,N803AW,DCA,17:00,20191118194412990
False,0.343,False,US,11/16/2014,738,N953UW,PHL,17:30,20191118194406873
False,0.239,True,US,04/22/2014,2149,N953UW,LGA,13:00,20191118194405675
False,1.225,False,US,02/04/2014,2135,N957UW,LGA,06:45,20191118194400161
False,1.883,False,US,01/28/2014,722,N107US,PHL,18:30,20191118194404297
False,0.286,True,US,02/20/2014,2141,N957UW,LGA,09:00,20191118194400995
False,2.455,False,US,05/15/2014,2066,N667AW,CLT,09:50,20191118194411534
False,2.113,False,US,03/03/2014,728,N725UW,PHL,17:30,20191118194407629
False,0.96,True,US,02/21/2014,824, ,PHL,12:30,20191118194401016
False,2.163,False,US,03/19/2014,2127,N750UW,DCA,19:00,20191118194408529
False,0.023,False,US,07/10/2014,800,N197UW,CLT,19:10,20191118194417262
False,1.706,False,US,08/03/2014,752,N180US,CLT,08:05,20191118194409268
False,2.845,True,US,05/28/2014,2103,N749US,DCA,07:00,20191118194412185
False,1.017,False,US,11/05/2014,2121,N755US,DCA,16:00,20191118194406331
False,1.011,True,US,03/20/2014,1896,N950UW,PHL,16:30,20191118194408571
False,0.765,False,US,11/22/2014,672,N508AY,PHL,07:30,20191118194407208
False,1.806,True,US,04/15/2014,1826,N191UW,PHL,07:30,20191118194405276
False,1.654,False,US,09/24/2014,2033,N953UW,PHL,12:30,20191118194416448
False,0.66,False,US,09/19/2014,2119,N766US,DCA,15:00,20191118194416216
True,0.908,True,US,03/10/2014,1788,N180US,CLT,19:10,20191118194408006
False,0.295,True,US,10/22/2014,2056,N553UW,CLT,12:50,20191118194402568
False,0.104,False,US,10/12/2014,2101,N963UW,DCA,06:00,20191118194402027
False,2.267,True,US,10/24/2014,2107,N819AW,DCA,09:00,20191118194402695
False,1.983,False,US,09/04/2014,2117,N824AW,DCA,14:00,20191118194415422
False,2.275,True,US,04/15/2014,543,N838AW,PHL,07:00,20191118194405258
False,2.322,True,US,11/13/2014,1809,N965UW,PHL,09:30,20191118194406736
False,1.657,True,US,02/09/2014,1758,N181UW,PHL,07:30,20191118194400391
False,1.37,False,US,06/07/2014,2109,N950UW,DCA,10:00,20191118194413986
